fetched_at,Imeino,Vehicle_No,Vehicle_Name,Company,Branch,Vehicletype,DeviceModel,Status,Power,IGN,GPS,Speed,Angle,course,Odometer,can_odometer,Latitude,Longitude,Location,POI,GPSActualTime,Datetime,Temperature,ExternalVolt,battery_percentage,satellite_count,gps_hdop,Fuel,AC,SOS,Immobilize_State,Door1,Door2,Door3,Door4,elock,Driver_First_Name,Driver_Middle_Name,Driver_Last_Name,Ibutton/RFID,Vin,mcc,mnc,cellid,lac,heartbeat,username,Altitude
2026-05-21T10:01:07,990000000000001,DEMO-0001,Demo Vehicle 0001,Demo Fleet,Branch-02,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,1,13,17,100011,0,-1.100001,36.700003,Mock Yard 02,,2026-05-21T10:02:05,2026-05-21T10:02:05,21,12.1,61,9,0.3,36,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0001,Test,User,TAG-0001,VINDEMO00000001,640,2,20001,501,1,demo-user,1101
2026-05-21T10:02:14,990000000000002,DEMO-0002,Demo Vehicle 0002,Demo Fleet,Branch-03,Truck,DEMO-TRACKER,STOP,ON,ON,ON,2,26,34,100022,0,-1.100002,36.700006,Mock Yard 03,,2026-05-21T10:03:10,2026-05-21T10:03:10,22,12.2,62,10,0.4,37,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0002,Test,User,TAG-0002,VINDEMO00000002,640,2,20002,502,0,demo-user,1102
2026-05-21T10:03:21,990000000000003,DEMO-0003,Demo Vehicle 0003,Demo Fleet,Branch-04,Truck,DEMO-TRACKER,MOVING,OFF,ON,ON,3,39,51,100033,0,-1.100003,36.700009,Mock Yard 04,,2026-05-21T10:04:15,2026-05-21T10:04:15,23,12.3,63,11,0.5,38,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0003,Test,User,TAG-0003,VINDEMO00000003,640,2,20003,503,1,demo-user,1103
2026-05-21T10:04:28,990000000000004,DEMO-0004,Demo Vehicle 0004,Demo Fleet,Branch-05,Truck,DEMO-TRACKER,STOP,ON,OFF,ON,4,52,68,100044,0,-1.100004,36.700012,Mock Yard 05,,2026-05-21T10:05:20,2026-05-21T10:05:20,24,12.4,64,12,0.6,39,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0004,Test,User,TAG-0004,VINDEMO00000004,640,2,20004,504,0,demo-user,1104
2026-05-21T10:05:35,990000000000005,DEMO-0005,Demo Vehicle 0005,Demo Fleet,Branch-06,Truck,DEMO-TRACKER,MOVING,ON,ON,OFF,5,65,85,100055,0,-1.100005,36.700015,Mock Yard 06,,2026-05-21T10:06:25,2026-05-21T10:06:25,25,12.5,65,8,0.7,40,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0005,Test,User,TAG-0005,VINDEMO00000005,640,2,20005,505,1,demo-user,1105
2026-05-21T10:06:42,990000000000006,DEMO-0006,Demo Vehicle 0006,Demo Fleet,Branch-07,Truck,DEMO-TRACKER,STOP,OFF,ON,ON,6,78,102,100066,0,-1.100006,36.700018,Mock Yard 07,,2026-05-21T10:07:30,2026-05-21T10:07:30,26,12.6,66,9,0.8,41,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0006,Test,User,TAG-0006,VINDEMO00000006,640,2,20006,506,0,demo-user,1106
2026-05-21T10:07:49,990000000000007,DEMO-0007,Demo Vehicle 0007,Demo Fleet,Branch-08,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,7,91,119,100077,0,-1.100007,36.700021,Mock Yard 08,,2026-05-21T10:08:35,2026-05-21T10:08:35,27,12.7,67,10,0.9,42,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0007,Test,User,TAG-0007,VINDEMO00000007,640,2,20007,507,1,demo-user,1107
2026-05-21T10:08:56,990000000000008,DEMO-0008,Demo Vehicle 0008,Demo Fleet,Branch-09,Truck,DEMO-TRACKER,STOP,ON,OFF,ON,8,104,136,100088,0,-1.100008,36.700024,Mock Yard 09,,2026-05-21T10:09:40,2026-05-21T10:09:40,28,12.8,68,11,0.2,43,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0008,Test,User,TAG-0008,VINDEMO00000008,640,2,20008,508,0,demo-user,1108
2026-05-21T10:09:03,990000000000009,DEMO-0009,Demo Vehicle 0009,Demo Fleet,Branch-10,Truck,DEMO-TRACKER,MOVING,OFF,ON,ON,9,117,153,100099,0,-1.100009,36.700027,Mock Yard 10,,2026-05-21T10:10:45,2026-05-21T10:10:45,20,12.9,69,12,0.3,44,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0009,Test,User,TAG-0009,VINDEMO00000009,640,2,20009,509,1,demo-user,1109
2026-05-21T10:10:10,990000000000010,DEMO-0010,Demo Vehicle 0010,Demo Fleet,Branch-11,Truck,DEMO-TRACKER,STOP,ON,ON,OFF,10,130,170,100110,0,-1.100010,36.700030,Mock Yard 11,,2026-05-21T10:11:50,2026-05-21T10:11:50,21,12.0,70,8,0.4,45,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0010,Test,User,TAG-0010,VINDEMO00000010,640,2,20010,510,0,demo-user,1110
